53.784954671188046,-2.222802617010707,
53.78399039206305,-2.2267626003290695,Towneloy p
53.78456987390783,-2.2279738513440663,| Spring"?
53.78399039206305,-2.228914428132245,ALMA
53.7845557773738,-2.227934445311045,- ve House
53.78291334066584,-2.228700601953064,
53.78321813059077,-2.2286250198897286,STREET
53.784541299852364,-2.2286334178967655,Posti  at
53.78262264727494,-2.2274557589099184,1 BM.425°%
53.78342957860119,-2.2267916703534296,
53.78489333221566,-2.222854943054555,
53.783121359789604,-2.2272890907702547,4\o®
53.78501067633675,-2.229464174592918,RAWLIN
53.78512535354601,-2.2279021452839785,
53.78437899921734,-2.222851067051307,
53.78320022418268,-2.2287949180320985,STEPHEN'S
53.78428680026505,-2.227057822576458,Ves STREET ne
53.784903999863026,-2.2241534041426316,| Boundary
53.78489333221566,-2.2227948650042113,
53.784955433162864,-2.2246424265524194,QMX, 2
53.782670651688115,-2.227646329069611,COURT
53.78388752546339,-2.22754878298787,wi  oo?
53.78521259966202,-2.2285403938188137,
53.7838879064508,-2.2275868970198087,
53.78454168083977,-2.2287522819963708,
53.785183263631744,-2.2252464370585647,
53.78481180091074,-2.2229240651124775,County
53.78437899921734,-2.2228962870892004,
53.78522517224642,-2.2284712717608914,
53.78497829240723,-2.227719973131323,B. M.390-5
53.78493181194368,-2.2242218802000124,“Ward B
53.78292096041397,-2.2274144148752733,
53.78483961299139,-2.229374380517673,STREET
53.782805140242495,-2.222511270766567,wad
53.7844258606683,-2.2295410486573366,
53.783762180606765,-2.228778122018024,7-05.
53.78475693872425,-2.2277606711654268,% « ; Post
53.784540918864955,-2.2288007320369707,B  4.3988
53.78466664470899,-2.2280914234425886,, 394-2
53.783578544677,-2.229590790699019,899°3
53.78331680632896,-2.228199951533532,SM, %  ,
53.78376179961936,-2.228865332091104,
53.78286609822748,-2.228889234111133,Seats |
53.785182882644335,-2.2251650409903565,io
53.78376179961936,-2.2288181740515864,400-6
53.782741134358254,-2.2279990453651783,
53.782805140242495,-2.222427290696194,4  92
53.782699606730986,-2.229029416228602,
53.78517183400956,-2.2248659427397204,ore ,  wy Seely
53.7838879064508,-2.227511960957014,46. 6
53.784143168012925,-2.2283407796515426,
53.78478094093084,-2.2237212297804807,{ iN i
53.78481180091074,-2.2238006878470644,
53.78354120791119,-2.2288782521019304,roe py
53.78473865132875,-2.223583631665177,
53.78291981745175,-2.229239366404535,%0.,
53.78354082692379,-2.227780697182208,
53.78312174077701,-2.228521013802574,vs School]
53.785212980649426,-2.224984160838784,
53.78473827034135,-2.227690257106422,
53.782741134358254,-2.2284964657820034,
53.784987817092386,-2.222723804944665,
53.78518821646802,-2.2284770857657636,oo
53.783431102550814,-2.2287929800304744,sanriso™
53.784918477384466,-2.224126918120437,
53.78324746662104,-2.227975143345149,
53.78493219293109,-2.224095264093912,
53.785126877495635,-2.224697982598974,Spee! yp € Poa
53.785059061737336,-2.224444104386231,
53.78489942801416,-2.224016452027869,
53.78371379520618,-2.2224957667535747,391+
53.78484418484026,-2.2238782079120245,
53.784554253424176,-2.2228284570323606,
53.78442738461792,-2.2275849590181847,
53.785061347661774,-2.227283922765924,L STREET
53.78497867339463,-2.227675399093971,
53.785125734533416,-2.225193465014175,
53.78371379520618,-2.228692203946027,
53.78475693872425,-2.2236508157214754,
53.78508839776761,-2.22455521647934,VEY  {
53.78267103267552,-2.229154094333079,
53.78513373526894,-2.229190916363935,
53.78451386875912,-2.2291708903471537,ps x
53.78466664470899,-2.228061061417146,
53.78451463073393,-2.22275545897119,vyepee gen eepaae cyeeyeeeeny
53.7850876357928,-2.2291715363476947,
53.78465064323793,-2.2234951295910146,
53.78391838544329,-2.2288808361040955,ot
53.78498934104201,-2.2289099061284556,
53.784958862049514,-2.224159864148045,a i  ves  tyh's  sit
53.78472341183251,-2.227753565159472,8%, x
53.784852566563195,-2.2228911190848697,
53.78407801916647,-2.229497120620526,
53.78455082453752,-2.2281198474664072,
53.78442700363052,-2.2281863855221644,
53.78319870023306,-2.227911189291557,
53.78384256894947,-2.2223387886220314,
53.78399267798749,-2.22734981482114,
53.78262226628753,-2.227396326860116,<.69
53.78414278702552,-2.2233032674302393,
53.78491885837187,-2.2294137865506944,Ti.
53.784900570976376,-2.228822696055376,47°
53.78427003681918,-2.2285584818339714,~Post
53.78355949530669,-2.2281909075259536,402:4  \
53.78331680632896,-2.228126953472362,\6bG
53.78387876275305,-2.2274098928714836,oes
53.78503467854334,-2.2274505909055877,
53.78456949292042,-2.228632125895683,x  goo!
53.78321774960337,-2.2271831466814764,
53.783725224828366,-2.228758742001784,*  999,
53.78447881791775,-2.2227057169295077,
53.78240738939046,-2.228055247412274,H'7
53.78331680632896,-2.2281611915010524,%, 709.),
53.78452758430574,-2.2286702399276215,vt  ot
53.785183263631744,-2.225205093023919,4.3  gt
53.78387076201752,-2.2279454273202477,i
53.78522631520864,-2.2246895845919368,
53.783725224828366,-2.227213508706919,B sana weg
53.78326537302913,-2.228135351479399,%06.,
53.783431483538216,-2.2284906517771317,
53.785133354281534,-2.2289002161203357,
53.78378351590151,-2.228275533596868,
53.78519545522874,-2.228616621882691,ede
53.78384256894947,-2.227831085224432,%00.5
53.784487961615504,-2.2291515103309134,+ 3941
53.784781702905654,-2.229015204216693,
53.78477294019531,-2.224121104115565,+ gett
53.783828091428035,-2.228254861579545,ob
53.784105450259716,-2.2273801768465824,
53.783578544677,-2.2295623666752005,&€
53.783449770933714,-2.2274932269413155,
53.783167078278346,-2.2267451583144537,shoes hi
53.78292210337618,-2.2275533049916594,
